NAIF,Name
1000001,AREND
1000002,AREND-RIGAUX
1000003,ASHBROOK-JACKSON
1000004,BOETHIN
1000005,BORRELLY
1000006,BOWELL-SKIFF
1000007,BRADFIELD
1000008,BROOKS 2
1000009,BRORSEN-METCALF
1000010,BUS
1000011,CHERNYKH
1000012,67P/CHURYUMOV-GERASIMENKO (1969 R1)
1000012,CHURYUMOV-GERASIMENKO
1000013,CIFFREO
1000014,CLARK
1000015,COMAS SOLA
1000016,CROMMELIN
1000017,D
1000018,DANIEL
1000019,DE VICO-SWIFT
1000020,DENNING-FUJIKAWA
1000021,DU TOIT 1
1000022,DU TOIT-HARTLEY
1000023,DUTOIT-NEUJMIN-DELPORTE
1000024,DUBIAGO
1000025,ENCKE
1000026,FAYE
1000027,FINLAY
1000028,FORBES
1000029,GEHRELS 1
1000030,GEHRELS 2
1000031,GEHRELS 3
1000032,GIACOBINI-ZINNER
1000033,GICLAS
1000034,GRIGG-SKJELLERUP
1000035,GUNN
1000036,HALLEY
1000037,HANEDA-CAMPOS
1000038,HARRINGTON
1000039,HARRINGTON-ABELL
1000040,HARTLEY 1
1000041,HARTLEY 2
1000042,HARTLEY-IRAS
1000043,HERSCHEL-RIGOLLET
1000044,HOLMES
1000045,HONDA-MRKOS-PAJDUSAKOVA
1000046,HOWELL
1000047,IRAS
1000048,JACKSON-NEUJMIN
1000049,JOHNSON
1000050,KEARNS-KWEE
1000051,KLEMOLA
1000052,KOHOUTEK
1000053,KOJIMA
1000054,KOPFF
1000055,KOWAL 1
1000056,KOWAL 2
1000057,KOWAL-MRKOS
1000058,KOWAL-VAVROVA
1000059,LONGMORE
1000060,LOVAS 1
1000061,MACHHOLZ
1000062,MAURY
1000063,NEUJMIN 1
1000064,NEUJMIN 2
1000065,NEUJMIN 3
1000066,OLBERS
1000067,PETERS-HARTLEY
1000068,PONS-BROOKS
1000069,PONS-WINNECKE
1000070,REINMUTH 1
1000071,REINMUTH 2
1000072,RUSSELL 1
1000073,RUSSELL 2
1000074,RUSSELL 3
1000075,RUSSELL 4
1000076,SANGUIN
1000077,SCHAUMASSE
1000078,SCHUSTER
1000079,SCHWASSMANN-WACHMANN 1
1000080,SCHWASSMANN-WACHMANN 2
1000081,SCHWASSMANN-WACHMANN 3
1000082,SHAJN-SCHALDACH
1000083,SHOEMAKER 1
1000084,SHOEMAKER 2
1000085,SHOEMAKER 3
1000086,SINGER-BREWSTER
1000087,SLAUGHTER-BURNHAM
1000088,SMIRNOVA-CHERNYKH
1000089,STEPHAN-OTERMA
1000090,SWIFT-GEHRELS
1000091,TAKAMIZAWA
1000092,TAYLOR
1000093,TEMPEL_1
1000093,TEMPEL 1
1000094,TEMPEL 2
1000095,TEMPEL-TUTTLE
1000096,TRITTON
1000097,TSUCHINSHAN 1
1000098,TSUCHINSHAN 2
1000099,TUTTLE
1000100,TUTTLE-GIACOBINI-KRESAK
1000101,VAISALA 1
1000102,VAN BIESBROECK
1000103,VAN HOUTEN
1000104,WEST-KOHOUTEK-IKEMURA
1000105,WHIPPLE
1000106,WILD 1
1000107,WILD 2
1000108,WILD 3
1000109,WIRTANEN
1000110,WOLF
1000111,WOLF-HARRINGTON
1000112,LOVAS 2
1000113,URATA-NIIJIMA
1000114,WISEMAN-SKIFF
1000115,HELIN
1000116,MUELLER
1000117,SHOEMAKER-HOLT 1
1000118,HELIN-ROMAN-CROCKETT
1000119,HARTLEY 3
1000120,PARKER-HARTLEY
1000121,HELIN-ROMAN-ALU 1
1000122,WILD 4
1000123,MUELLER 2
1000124,MUELLER 3
1000125,SHOEMAKER-LEVY 1
1000126,SHOEMAKER-LEVY 2
1000127,HOLT-OLMSTEAD
1000128,METCALF-BREWINGTON
1000129,LEVY
1000130,SHOEMAKER-LEVY 9
1000131,HYAKUTAKE
1000132,HALE-BOPP
1003228,C/2013 A1
1003228,SIDING SPRING
